Age,Gender,Monthly_Income,Occupation,Location_Type,Cinema_Visit_Frequency,Spend_Per_Visit,Movie_Importance,Preferred_Genres,Preferred_Time,Movie_Companion,Group_Movie_Conflict,Use_Poll_Booking,Seat_Importance,Pay_Extra_Seat,Buy_Snacks,Use_Snack_Preorder,Enjoy_PostCredit,Want_Spoiler_Free_Alerts,Inclusive_Screenings,Eco_Labels_Influence,Follow_Fan_Communities,Want_Exclusive_Content,AI_Recommendation_Interest,Loyalty_SplitPay_Interest,Use_App_Regularly
17,Prefer not to say,1082,Retired,Tier-1 City,Occasionally,109,2,"Documentary, Romance, Sci-Fi, Drama",Afternoon,Family,Yes,No,2,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,3,5,No
36,Non-binary,7340,Other,Tier-2 City,Monthly,76,5,"Animation, Sci-Fi, Horror, Drama, Comedy, Other, Documentary, Action, Romance",Afternoon,Alone,No,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5,2,Yes
16,Male,3397,Homemaker,Rural Area,Rarely,86,5,"Romance, Sci-Fi, Other, Drama, Action, Horror, Comedy",Evening,Family,Yes,No,2,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,4,4,Yes
38,Female,4980,Retired,Town,Rarely,48,1,"Action, Documentary, Animation, Drama",Afternoon,Friends/Group,Yes,Yes,3,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,4,1,Yes
58,Male,2642,Student,Tier-1 City,Monthly,85,5,"Romance, Horror, Other, Comedy, Sci-Fi",Afternoon,Friends/Group,Yes,Yes,2,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,4,4,No
44,Non-binary,1311,Other,Tier-2 City,Weekly,97,2,"Drama, Comedy, Romance, Animation, Action, Other",Afternoon,Partner,Yes,Yes,3,No,Yes,No,Yes,Yes,No,No,No,No,5,1,No
52,Non-binary,1334,Other,Tier-2 City,Monthly,113,5,"Action, Romance, Documentary, Comedy, Other, Drama, Animation",Afternoon,Partner,No,Yes,4,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,1,2,Yes
16,Non-binary,3892,Student,Rural Area,Occasionally,103,4,"Animation, Drama, Comedy, Other, Sci-Fi, Documentary, Horror, Romance, Action",Evening,Partner,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1,3,Yes
35,Male,2406,Other,Tier-1 City,Weekly,86,2,"Documentary, Sci-Fi, Romance, Drama, Action, Horror",Afternoon,Alone,No,No,4,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,3,2,Yes
47,Male,1559,Student,Town,Never,44,4,"Drama, Horror, Animation, Romance",Afternoon,Partner,No,Yes,1,No,No,Yes,Yes,No,Yes,Yes,No,No,4,4,Yes
26,Male,16146,Retired,Tier-2 City,Monthly,77,5,"Animation, Romance, Action, Horror, Other, Drama, Documentary, Sci-Fi, Comedy",Morning,Alone,Yes,No,2,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,3,4,Yes
36,Male,1165,Homemaker,Tier-1 City,Occasionally,63,3,"Sci-Fi, Animation, Documentary, Romance, Drama, Action",Evening,Friends/Group,No,No,3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,3,3,No
58,Non-binary,3180,Student,Town,Weekly,79,1,"Horror, Documentary, Action, Sci-Fi, Romance, Drama, Other, Animation, Comedy",Night,Family,Yes,Yes,3,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4,3,Yes
39,Non-binary,1783,Working Professional,Tier-2 City,Monthly,50,2,"Documentary, Sci-Fi, Romance, Horror, Action, Comedy, Other, Drama, Animation",Night,Friends/Group,Yes,Yes,2,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,5,3,Yes
41,Female,4993,Student,Tier-2 City,Rarely,70,4,"Comedy, Other, Documentary, Sci-Fi, Animation, Horror, Romance",Morning,Friends/Group,No,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2,4,Yes
56,Female,1928,Other,Town,Monthly,64,3,"Other, Animation, Sci-Fi, Romance, Comedy, Horror",Morning,Friends/Group,Yes,No,2,Yes,Yes,Yes,No,Yes,No,No,No,Yes,4,2,Yes
42,Male,2518,Retired,Town,Never,64,3,"Comedy, Documentary, Sci-Fi, Horror, Drama, Action, Animation, Other, Romance",Evening,Partner,No,Yes,4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,2,5,Yes
30,Prefer not to say,1029,Retired,Rural Area,Monthly,64,2,"Documentary, Horror, Animation, Drama, Action, Romance, Other",Night,Partner,Yes,Yes,4,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,2,3,Yes
29,Prefer not to say,1188,Student,Tier-1 City,Weekly,72,2,"Romance, Action, Horror, Drama, Comedy, Documentary, Sci-Fi, Animation, Other",Afternoon,Partner,No,Yes,1,No,No,Yes,Yes,Yes,No,Yes,Yes,No,5,1,Yes
58,Non-binary,2245,Homemaker,Tier-1 City,Weekly,80,3,"Action, Other, Animation, Drama, Comedy, Sci-Fi, Romance, Documentary, Horror",Morning,Family,Yes,Yes,2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,4,4,Yes
17,Non-binary,2634,Working Professional,Rural Area,Monthly,25,1,"Horror, Other, Animation, Comedy, Drama, Romance, Sci-Fi, Action",Night,Partner,Yes,Yes,4,Yes,Yes,No,Yes,Yes,No,No,No,Yes,4,4,Yes
51,Non-binary,3290,Retired,Tier-2 City,Weekly,27,1,"Drama, Other, Sci-Fi, Documentary, Comedy, Action",Evening,Alone,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,No,No,No,No,4,2,No
21,Female,1862,Other,Town,Rarely,68,4,"Action, Drama, Other, Documentary, Comedy, Romance, Animation, Horror, Sci-Fi",Afternoon,Friends/Group,No,Yes,3,No,Yes,Yes,No,Yes,No,No,Yes,Yes,2,2,Yes
35,Female,3968,Other,Town,Monthly,71,1,"Drama, Animation, Sci-Fi, Action",Evening,Family,No,Yes,5,Yes,Yes,No,No,Yes,No,No,Yes,Yes,5,3,Yes
23,Non-binary,5917,Homemaker,Town,Rarely,78,3,"Comedy, Documentary, Horror, Drama, Sci-Fi, Action, Other, Animation, Romance",Morning,Family,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,No,No,No,No,1,4,Yes
53,Non-binary,4783,Retired,Tier-2 City,Rarely,60,3,"Other, Sci-Fi, Horror, Romance, Action, Documentary, Comedy, Drama, Animation",Night,Family,No,Yes,1,Yes,Yes,No,Yes,No,No,No,Yes,Yes,4,1,Yes
32,Non-binary,1101,Student,Town,Occasionally,75,5,"Comedy, Documentary, Romance, Horror, Action, Sci-Fi, Other, Animation, Drama",Night,Family,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1,3,No
18,Prefer not to say,2637,Other,Town,Monthly,77,3,"Sci-Fi, Romance, Horror, Other, Documentary",Night,Family,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,2,2,No
39,Female,1277,Homemaker,Rural Area,Weekly,60,1,"Documentary, Animation, Action, Romance, Other, Comedy",Night,Alone,No,Yes,4,Yes,No,No,Yes,Yes,No,No,No,No,2,1,Yes
28,Prefer not to say,1692,Retired,Tier-2 City,Rarely,95,4,"Documentary, Horror, Other, Drama, Animation, Sci-Fi, Comedy",Afternoon,Friends/Group,No,Yes,3,Yes,Yes,No,Yes,Yes,No,No,No,Yes,3,2,Yes
23,Prefer not to say,11792,Retired,Tier-1 City,Occasionally,78,5,"Comedy, Romance, Horror, Drama, Documentary, Sci-Fi, Action, Other, Animation",Afternoon,Family,No,Yes,2,No,Yes,No,Yes,Yes,No,No,Yes,Yes,5,3,Yes
40,Non-binary,1384,Retired,Rural Area,Monthly,85,1,"Comedy, Other, Horror, Action",Evening,Friends/Group,No,Yes,2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,3,1,No
16,Non-binary,2727,Retired,Rural Area,Monthly,76,4,"Romance, Drama, Sci-Fi, Action, Animation, Documentary, Horror, Other, Comedy",Afternoon,Partner,Yes,Yes,5,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,1,2,Yes
34,Male,3406,Retired,Tier-1 City,Never,117,1,"Animation, Action, Drama, Sci-Fi, Other, Romance",Morning,Family,No,Yes,4,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,2,4,Yes
42,Male,4030,Other,Rural Area,Never,86,5,"Other, Horror, Comedy, Romance",Morning,Family,Yes,Yes,2,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,4,4,Yes
21,Prefer not to say,3050,Homemaker,Tier-2 City,Rarely,65,3,"Horror, Comedy, Drama, Sci-Fi, Animation, Action, Documentary",Night,Friends/Group,Yes,No,2,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,4,3,No
58,Female,1024,Retired,Town,Never,91,5,"Horror, Animation, Documentary, Sci-Fi, Romance, Action, Drama, Comedy",Morning,Family,Yes,No,4,Yes,Yes,Yes,No,Yes,No,Yes,No,No,5,1,Yes
22,Non-binary,1988,Working Professional,Tier-2 City,Rarely,42,3,"Drama, Sci-Fi, Romance, Other",Evening,Family,Yes,No,4,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,1,2,Yes
49,Non-binary,2823,Working Professional,Tier-1 City,Weekly,77,5,"Romance, Action, Comedy, Animation, Sci-Fi, Horror",Afternoon,Family,Yes,No,4,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,3,2,Yes
28,Prefer not to say,1229,Homemaker,Tier-1 City,Rarely,81,2,"Drama, Action, Documentary, Romance",Afternoon,Alone,Yes,Yes,4,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,1,4,No
31,Male,2079,Student,Rural Area,Never,77,1,"Horror, Animation, Other, Documentary, Drama, Comedy, Romance, Sci-Fi",Afternoon,Alone,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,Yes
50,Female,1084,Student,Tier-2 City,Weekly,68,1,"Romance, Comedy, Action, Documentary, Other, Animation, Drama, Horror, Sci-Fi",Morning,Family,Yes,Yes,3,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,5,1,No
54,Male,1204,Student,Tier-2 City,Never,54,2,"Animation, Documentary, Sci-Fi, Horror, Romance, Drama, Action",Afternoon,Alone,Yes,Yes,1,Yes,Yes,Yes,No,Yes,No,No,Yes,No,3,4,Yes
18,Male,2264,Working Professional,Tier-1 City,Rarely,59,3,"Comedy, Romance, Horror, Action, Drama, Animation, Sci-Fi, Other",Night,Partner,Yes,Yes,4,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4,4,Yes
16,Male,1355,Student,Tier-2 City,Occasionally,77,1,"Horror, Animation, Sci-Fi, Action",Night,Family,Yes,No,2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,4,5,No
20,Male,3095,Other,Tier-1 City,Monthly,52,2,"Horror, Sci-Fi, Comedy, Animation",Night,Partner,No,Yes,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,2,4,No
56,Non-binary,3923,Retired,Tier-2 City,Never,110,1,"Sci-Fi, Romance, Action, Animation, Horror, Other",Morning,Friends/Group,No,Yes,5,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,3,2,Yes
18,Non-binary,5030,Working Professional,Tier-2 City,Rarely,22,4,"Drama, Animation, Sci-Fi, Romance, Comedy",Afternoon,Partner,No,Yes,1,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,2,3,Yes
43,Male,9348,Homemaker,Tier-2 City,Weekly,68,3,"Other, Romance, Action, Horror, Animation, Documentary, Sci-Fi, Comedy",Morning,Friends/Group,Yes,Yes,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,5,4,Yes
32,Female,1458,Homemaker,Tier-1 City,Never,77,4,"Romance, Animation, Sci-Fi, Horror",Afternoon,Family,No,Yes,3,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,1,5,Yes
40,Prefer not to say,1276,Retired,Rural Area,Never,85,3,"Animation, Sci-Fi, Action, Horror, Other, Drama, Documentary, Comedy, Romance",Evening,Friends/Group,Yes,No,3,Yes,Yes,Yes,Yes,Yes,No,No,No,No,4,4,Yes
58,Female,3529,Working Professional,Tier-2 City,Monthly,56,2,"Animation, Comedy, Documentary, Horror",Evening,Friends/Group,Yes,Yes,4,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,1,2,Yes
48,Female,4064,Student,Tier-1 City,Rarely,97,3,"Animation, Comedy, Horror, Drama, Romance, Documentary, Other, Action",Morning,Partner,Yes,No,2,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1,1,Yes
24,Female,1080,Student,Tier-1 City,Occasionally,47,3,"Other, Comedy, Sci-Fi, Animation",Night,Partner,No,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,4,1,Yes
50,Male,7880,Other,Tier-2 City,Weekly,63,2,"Romance, Other, Documentary, Animation, Comedy",Morning,Partner,Yes,No,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,1,Yes
28,Non-binary,1133,Other,Tier-2 City,Rarely,87,3,"Comedy, Drama, Documentary, Other, Romance",Night,Family,Yes,Yes,4,Yes,Yes,Yes,No,Yes,Yes,No,No,No,3,2,Yes
45,Female,2948,Student,Rural Area,Weekly,95,1,"Drama, Comedy, Documentary, Romance, Horror, Sci-Fi, Other, Animation",Afternoon,Family,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,4,2,Yes
29,Male,4086,Homemaker,Tier-1 City,Never,46,5,"Romance, Other, Comedy, Horror, Action, Documentary, Animation, Drama, Sci-Fi",Night,Partner,No,Yes,2,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,2,3,Yes
22,Female,6119,Homemaker,Tier-1 City,Monthly,127,2,"Action, Romance, Sci-Fi, Other, Drama, Horror, Comedy, Documentary",Night,Family,No,No,5,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,4,5,Yes
28,Female,4130,Other,Town,Monthly,57,5,"Romance, Sci-Fi, Action, Other",Afternoon,Family,Yes,No,1,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1,1,Yes
37,Male,5045,Retired,Tier-1 City,Occasionally,48,2,"Other, Animation, Horror, Sci-Fi",Evening,Friends/Group,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1,2,Yes
54,Non-binary,2036,Student,Rural Area,Monthly,85,2,"Action, Documentary, Animation, Sci-Fi, Comedy, Drama, Horror, Romance",Afternoon,Friends/Group,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3,1,Yes
35,Non-binary,5216,Other,Town,Never,68,4,"Drama, Action, Horror, Documentary, Other, Romance, Sci-Fi, Animation",Morning,Partner,No,No,4,Yes,Yes,Yes,Yes,Yes,No,No,No,No,1,3,Yes
30,Prefer not to say,1208,Other,Town,Occasionally,65,4,"Horror, Documentary, Other, Sci-Fi",Morning,Family,Yes,Yes,4,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,2,4,Yes
59,Male,6630,Student,Town,Rarely,86,3,"Drama, Romance, Other, Animation, Horror, Sci-Fi, Comedy, Action",Morning,Friends/Group,No,Yes,5,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,3,5,Yes
32,Prefer not to say,2982,Student,Tier-2 City,Monthly,44,5,"Romance, Comedy, Drama, Action, Sci-Fi, Horror, Documentary, Animation, Other",Morning,Alone,Yes,Yes,3,Yes,No,No,Yes,Yes,No,Yes,No,No,4,1,Yes
38,Prefer not to say,5249,Homemaker,Tier-2 City,Occasionally,40,2,"Comedy, Drama, Documentary, Animation, Horror, Other",Morning,Family,No,Yes,3,Yes,Yes,Yes,No,Yes,No,No,No,Yes,4,4,Yes
40,Prefer not to say,2505,Retired,Tier-1 City,Never,63,3,"Comedy, Sci-Fi, Documentary, Horror, Drama, Other, Animation, Action",Evening,Alone,Yes,No,3,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,4,4,No
39,Non-binary,3579,Retired,Town,Weekly,96,1,"Animation, Romance, Action, Drama, Documentary, Comedy, Other, Horror, Sci-Fi",Evening,Partner,Yes,No,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1,3,Yes
59,Male,2868,Student,Rural Area,Weekly,63,2,"Horror, Drama, Comedy, Action, Documentary",Night,Family,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1,3,No
55,Prefer not to say,4288,Working Professional,Tier-2 City,Never,106,1,"Other, Action, Romance, Drama",Morning,Partner,Yes,Yes,5,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,5,4,Yes
43,Male,1212,Other,Rural Area,Never,99,3,"Drama, Animation, Comedy, Documentary, Romance, Sci-Fi, Other, Horror",Afternoon,Partner,Yes,No,5,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,2,1,Yes
29,Male,1155,Other,Rural Area,Weekly,320,4,"Animation, Romance, Documentary, Other",Morning,Partner,No,Yes,2,Yes,No,No,Yes,Yes,No,No,Yes,No,4,4,Yes
59,Non-binary,1709,Student,Tier-2 City,Occasionally,81,3,"Documentary, Sci-Fi, Animation, Romance, Horror",Evening,Partner,Yes,No,4,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2,2,Yes
15,Prefer not to say,1434,Working Professional,Tier-2 City,Weekly,80,1,"Other, Horror, Drama, Documentary, Comedy",Morning,Partner,No,Yes,4,Yes,Yes,No,Yes,Yes,No,No,Yes,No,4,5,No
39,Prefer not to say,6135,Homemaker,Tier-2 City,Never,78,2,"Documentary, Other, Animation, Drama, Horror, Sci-Fi",Evening,Family,No,Yes,2,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,3,2,Yes
21,Male,1618,Student,Tier-2 City,Monthly,67,5,"Horror, Drama, Animation, Documentary, Action",Night,Alone,Yes,No,5,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,2,5,Yes
23,Female,10310,Student,Town,Rarely,69,3,"Documentary, Romance, Sci-Fi, Action, Animation, Other, Comedy, Horror, Drama",Night,Family,No,Yes,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,2,2,Yes
38,Non-binary,2027,Other,Town,Monthly,53,2,"Documentary, Drama, Animation, Horror, Action, Comedy",Night,Family,No,Yes,5,No,Yes,No,Yes,Yes,No,Yes,No,Yes,1,2,Yes
15,Non-binary,1502,Student,Town,Monthly,30,4,"Romance, Action, Horror, Documentary, Animation, Drama, Other",Evening,Family,Yes,Yes,4,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,5,3,No
58,Non-binary,4898,Student,Town,Never,97,4,"Comedy, Romance, Other, Action, Drama, Documentary, Sci-Fi",Morning,Friends/Group,No,Yes,3,Yes,Yes,No,No,No,Yes,Yes,No,Yes,1,1,Yes
22,Non-binary,3687,Student,Tier-1 City,Weekly,78,4,"Romance, Drama, Comedy, Action, Documentary, Horror, Sci-Fi, Other, Animation",Morning,Friends/Group,Yes,Yes,4,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,2,3,No
38,Prefer not to say,2723,Other,Town,Occasionally,75,2,"Action, Comedy, Other, Drama, Documentary, Sci-Fi, Romance",Afternoon,Family,Yes,No,2,No,No,Yes,Yes,Yes,No,No,Yes,No,3,2,No
25,Prefer not to say,3026,Homemaker,Tier-2 City,Monthly,82,3,"Other, Animation, Action, Drama, Comedy, Romance, Documentary, Horror, Sci-Fi",Evening,Alone,No,No,3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,4,Yes
31,Female,4175,Homemaker,Rural Area,Weekly,58,2,"Documentary, Comedy, Action, Horror, Sci-Fi, Animation, Drama",Afternoon,Family,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,5,2,Yes
22,Non-binary,1648,Student,Town,Occasionally,54,2,"Horror, Drama, Documentary, Other, Action, Animation, Sci-Fi, Comedy",Night,Partner,Yes,Yes,1,Yes,No,No,Yes,Yes,No,No,Yes,Yes,4,4,Yes
49,Non-binary,15021,Other,Tier-1 City,Monthly,69,5,"Comedy, Romance, Action, Sci-Fi, Documentary",Morning,Friends/Group,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,2,1,Yes
49,Male,10201,Homemaker,Tier-2 City,Occasionally,102,5,"Other, Action, Horror, Animation, Documentary, Romance, Comedy, Drama",Evening,Friends/Group,No,Yes,3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1,5,No
47,Prefer not to say,3626,Homemaker,Rural Area,Weekly,51,3,"Action, Romance, Animation, Other, Drama, Comedy, Sci-Fi, Documentary, Horror",Afternoon,Family,No,Yes,4,No,Yes,Yes,No,Yes,No,No,Yes,No,1,5,Yes
19,Non-binary,1556,Homemaker,Rural Area,Rarely,22,5,"Action, Romance, Sci-Fi, Drama, Comedy",Afternoon,Family,Yes,No,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3,2,Yes
56,Female,3850,Other,Town,Weekly,64,4,"Documentary, Other, Romance, Comedy, Animation, Action, Drama, Sci-Fi, Horror",Afternoon,Alone,No,Yes,5,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,2,2,No
53,Female,1187,Other,Rural Area,Never,97,5,"Horror, Action, Animation, Comedy, Documentary, Drama",Morning,Alone,No,No,5,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4,5,Yes
55,Prefer not to say,1077,Student,Town,Occasionally,40,4,"Other, Animation, Documentary, Sci-Fi, Horror, Drama",Morning,Partner,Yes,Yes,3,No,Yes,Yes,No,Yes,No,Yes,Yes,No,3,2,Yes
42,Female,1744,Retired,Town,Rarely,51,3,"Horror, Sci-Fi, Drama, Action",Morning,Family,Yes,Yes,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,2,2,Yes
21,Female,2552,Homemaker,Tier-2 City,Occasionally,80,2,"Romance, Sci-Fi, Action, Drama, Horror, Documentary, Other, Comedy, Animation",Evening,Family,No,Yes,1,No,Yes,No,Yes,Yes,No,No,Yes,Yes,2,1,No
23,Prefer not to say,6067,Retired,Tier-2 City,Occasionally,126,2,"Drama, Documentary, Romance, Horror, Other, Sci-Fi",Morning,Family,No,Yes,5,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,1,2,Yes
22,Non-binary,4247,Other,Tier-1 City,Monthly,47,5,"Animation, Comedy, Horror, Sci-Fi",Evening,Friends/Group,No,Yes,5,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,4,Yes
26,Non-binary,4393,Other,Tier-2 City,Never,47,4,"Other, Sci-Fi, Drama, Action, Romance",Afternoon,Partner,Yes,No,3,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,1,Yes
48,Female,2385,Other,Tier-2 City,Occasionally,81,1,"Sci-Fi, Other, Horror, Documentary, Animation, Comedy",Afternoon,Alone,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,4,3,Yes
47,Female,2061,Retired,Town,Weekly,99,1,"Documentary, Romance, Horror, Action, Drama, Animation, Comedy, Other, Sci-Fi",Night,Friends/Group,Yes,No,3,No,Yes,Yes,Yes,Yes,No,No,No,Yes,1,2,Yes
37,Non-binary,2159,Other,Tier-2 City,Weekly,62,1,"Animation, Romance, Sci-Fi, Documentary, Comedy, Action, Horror, Other, Drama",Morning,Friends/Group,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,2,Yes
38,Prefer not to say,11985,Student,Town,Monthly,42,2,"Comedy, Horror, Animation, Romance, Drama",Afternoon,Friends/Group,Yes,No,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1,4,Yes
